# atomic number|symbol|registry suffix|English|简体中文|category|icon base (showcase specimen form)
1|H|hydrogen|Hydrogen|氢|5|gas
2|He|helium|Helium|氦|7|gas
3|Li|lithium|Lithium|锂|0|metal
4|Be|beryllium|Beryllium|铍|1|metal
5|B|boron|Boron|硼|4|powder
6|C|carbon|Carbon|碳|5|solid
7|N|nitrogen|Nitrogen|氮|5|gas
8|O|oxygen|Oxygen|氧|5|gas
9|F|fluorine|Fluorine|氟|6|gas
10|Ne|neon|Neon|氖|7|gas
11|Na|sodium|Sodium|钠|0|metal
12|Mg|magnesium|Magnesium|镁|1|metal
13|Al|aluminium|Aluminium|铝|3|metal
14|Si|silicon|Silicon|硅|4|solid
15|P|phosphorus|Phosphorus|磷|5|powder
16|S|sulfur|Sulfur|硫|5|powder
17|Cl|chlorine|Chlorine|氯|6|gas
18|Ar|argon|Argon|氩|7|gas
19|K|potassium|Potassium|钾|0|metal
20|Ca|calcium|Calcium|钙|1|metal
21|Sc|scandium|Scandium|钪|2|metal
22|Ti|titanium|Titanium|钛|2|metal
23|V|vanadium|Vanadium|钒|2|metal
24|Cr|chromium|Chromium|铬|2|metal
25|Mn|manganese|Manganese|锰|2|metal
26|Fe|iron|Iron|铁|2|metal
27|Co|cobalt|Cobalt|钴|2|metal
28|Ni|nickel|Nickel|镍|2|metal
29|Cu|copper|Copper|铜|2|metal
30|Zn|zinc|Zinc|锌|2|metal
31|Ga|gallium|Gallium|镓|3|metal
32|Ge|germanium|Germanium|锗|4|solid
33|As|arsenic|Arsenic|砷|4|solid
34|Se|selenium|Selenium|硒|5|solid
35|Br|bromine|Bromine|溴|6|liquid
36|Kr|krypton|Krypton|氪|7|gas
37|Rb|rubidium|Rubidium|铷|0|metal
38|Sr|strontium|Strontium|锶|1|metal
39|Y|yttrium|Yttrium|钇|2|metal
40|Zr|zirconium|Zirconium|锆|2|metal
41|Nb|niobium|Niobium|铌|2|metal
42|Mo|molybdenum|Molybdenum|钼|2|metal
43|Tc|technetium|Technetium|锝|2|metal
44|Ru|ruthenium|Ruthenium|钌|2|metal
45|Rh|rhodium|Rhodium|铑|2|metal
46|Pd|palladium|Palladium|钯|2|metal
47|Ag|silver|Silver|银|2|metal
48|Cd|cadmium|Cadmium|镉|2|metal
49|In|indium|Indium|铟|3|metal
50|Sn|tin|Tin|锡|3|metal
51|Sb|antimony|Antimony|锑|4|solid
52|Te|tellurium|Tellurium|碲|4|solid
53|I|iodine|Iodine|碘|6|solid
54|Xe|xenon|Xenon|氙|7|gas
55|Cs|caesium|Caesium|铯|0|metal
56|Ba|barium|Barium|钡|1|metal
57|La|lanthanum|Lanthanum|镧|8|metal
58|Ce|cerium|Cerium|铈|8|metal
59|Pr|praseodymium|Praseodymium|镨|8|metal
60|Nd|neodymium|Neodymium|钕|8|metal
61|Pm|promethium|Promethium|钷|8|metal
62|Sm|samarium|Samarium|钐|8|metal
63|Eu|europium|Europium|铕|8|metal
64|Gd|gadolinium|Gadolinium|钆|8|metal
65|Tb|terbium|Terbium|铽|8|metal
66|Dy|dysprosium|Dysprosium|镝|8|metal
67|Ho|holmium|Holmium|钬|8|metal
68|Er|erbium|Erbium|铒|8|metal
69|Tm|thulium|Thulium|铥|8|metal
70|Yb|ytterbium|Ytterbium|镱|8|metal
71|Lu|lutetium|Lutetium|镥|8|metal
72|Hf|hafnium|Hafnium|铪|2|metal
73|Ta|tantalum|Tantalum|钽|2|metal
74|W|tungsten|Tungsten|钨|2|metal
75|Re|rhenium|Rhenium|铼|2|metal
76|Os|osmium|Osmium|锇|2|metal
77|Ir|iridium|Iridium|铱|2|metal
78|Pt|platinum|Platinum|铂|2|metal
79|Au|gold|Gold|金|2|metal
80|Hg|mercury|Mercury|汞|2|liquid
81|Tl|thallium|Thallium|铊|3|metal
82|Pb|lead|Lead|铅|3|metal
83|Bi|bismuth|Bismuth|铋|3|metal
84|Po|polonium|Polonium|钋|3|metal
85|At|astatine|Astatine|砹|6|solid
86|Rn|radon|Radon|氡|7|gas
87|Fr|francium|Francium|钫|0|metal
88|Ra|radium|Radium|镭|1|metal
89|Ac|actinium|Actinium|锕|9|metal
90|Th|thorium|Thorium|钍|9|metal
91|Pa|protactinium|Protactinium|镤|9|metal
92|U|uranium|Uranium|铀|9|metal
93|Np|neptunium|Neptunium|镎|9|metal
94|Pu|plutonium|Plutonium|钚|9|metal
95|Am|americium|Americium|镅|9|metal
96|Cm|curium|Curium|锔|9|metal
97|Bk|berkelium|Berkelium|锫|9|metal
98|Cf|californium|Californium|锎|9|metal
99|Es|einsteinium|Einsteinium|锿|9|metal
100|Fm|fermium|Fermium|镄|9|element
101|Md|mendelevium|Mendelevium|钔|9|element
102|No|nobelium|Nobelium|锘|9|element
103|Lr|lawrencium|Lawrencium|铹|9|element
104|Rf|rutherfordium|Rutherfordium|𬬻|2|element
105|Db|dubnium|Dubnium|𬭊|2|element
106|Sg|seaborgium|Seaborgium|𬭳|2|element
107|Bh|bohrium|Bohrium|𬭛|2|element
108|Hs|hassium|Hassium|𬭶|2|element
109|Mt|meitnerium|Meitnerium|鿏|2|element
110|Ds|darmstadtium|Darmstadtium|𫟼|2|element
111|Rg|roentgenium|Roentgenium|𬬭|2|element
112|Cn|copernicium|Copernicium|鿔|2|element
113|Nh|nihonium|Nihonium|鿭|3|element
114|Fl|flerovium|Flerovium|𫓧|3|element
115|Mc|moscovium|Moscovium|镆|3|element
116|Lv|livermorium|Livermorium|𫟷|3|element
117|Ts|tennessine|Tennessine|鿬|6|element
118|Og|oganesson|Oganesson|鿫|7|element
